2013-02-15 18:25:36 Debug: Notice (8): Undefined variable: groups in [Q:\projetosPHP\FNRCake\app\View\Groups\index.ctp, line 12]
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:29:47 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:29:49 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:29:49 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-15 19:29:49 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
Dispatcher::_invoke() - CORE\Cake\Routing\Dispatcher.php, line 193
Dispatcher::dispatch() - CORE\Cake\Routing\Dispatcher.php, line 161
[main] - APP\webroot\index.php, line 92

2013-02-16 16:12:25 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
call_user_func - [internal], line ??
ErrorHandler::handleFatalError() - CORE\Cake\Error\ErrorHandler.php, line 214
ErrorHandler::handleError() - CORE\Cake\Error\ErrorHandler.php, line 162
call_user_func - [internal], line ??
App::_checkFatalError() - CORE\Cake\Core\App.php, line 926
App::shutdown() - CORE\Cake\Core\App.php, line 899
[main] - [internal], line ??

2013-02-16 16:12:25 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
call_user_func - [internal], line ??
ErrorHandler::handleFatalError() - CORE\Cake\Error\ErrorHandler.php, line 214
ErrorHandler::handleError() - CORE\Cake\Error\ErrorHandler.php, line 162
call_user_func - [internal], line ??
App::_checkFatalError() - CORE\Cake\Core\App.php, line 926
App::shutdown() - CORE\Cake\Core\App.php, line 899
[main] - [internal], line ??

2013-02-16 16:12:25 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
call_user_func - [internal], line ??
ErrorHandler::handleFatalError() - CORE\Cake\Error\ErrorHandler.php, line 214
ErrorHandler::handleError() - CORE\Cake\Error\ErrorHandler.php, line 162
call_user_func - [internal], line ??
App::_checkFatalError() - CORE\Cake\Core\App.php, line 926
App::shutdown() - CORE\Cake\Core\App.php, line 899
[main] - [internal], line ??

2013-02-16 16:12:46 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:12:46 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:12:46 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:12:49 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:12:49 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:12:49 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:12:57 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:12:57 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:12:57 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:13:00 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:13:00 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:13:00 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:13:50 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 16]
Trace:
include - APP\View\Layouts\default.ctp, line 16
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:13:50 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 37]
Trace:
include - APP\View\Layouts\default.ctp, line 37
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

2013-02-16 16:13:50 Debug: Notice (8): Undefined index: User in [Q:\projetosPHP\FNRCake\app\View\Layouts\default.ctp, line 39]
Trace:
include - APP\View\Layouts\default.ctp, line 39
View::_evaluate() - CORE\Cake\View\View.php, line 920
View::_render() - CORE\Cake\View\View.php, line 883
View::renderLayout() - CORE\Cake\View\View.php, line 539
View::render() - CORE\Cake\View\View.php, line 483
Controller::render() - CORE\Cake\Controller\Controller.php, line 957
ExceptionRenderer::_outputMessage() - CORE\Cake\Error\ExceptionRenderer.php, line 267
ExceptionRenderer::error500() - CORE\Cake\Error\ExceptionRenderer.php, line 236
ExceptionRenderer::render() - CORE\Cake\Error\ExceptionRenderer.php, line 169
ErrorHandler::handleException() - CORE\Cake\Error\ErrorHandler.php, line 127
[main] - [internal], line ??

